sum: 617090
It gave 3
have almost 3
and enabled 3
mind It 3
their ready 3
has quite 3
curiosity in 3
toothpick case 3
formerly been 3
no injury 3
whom Emma 3
Lydia were 3
going now 3
farther in 3
overcome the 3
advice I 3
first stage 3
the 22nd 3
might sometimes 3
sister Mary 3
of apprehension 3
improvements and 3
defer it 3
replied for 3
not walk 3
wrong she 3
Fanny so 3
long speeches 3
Brandon's being 3
in justice 3
instantly withdrawn 3
stay behind 3
do Very 3
professed himself 3
brought me 3
wanted very 3
we agreed 3
in urging 3
dearest friends 3
complexion was 3
whether Mr 3
on anything 3
of decision 3
express I 3
perfectly I 3
Elinor looked 3
Norris however 3
With great 3
feeling I 3
the examination 3
with too 3
his grounds 3
bless me 3
must exert 3
so palpably 3
room one 3
have killed 3
again this 3
he It 3
talent of 3
without me 3
sent with 3
satisfy her 3
his intelligence 3
for breakfast 3
wiser to 3
One morning 3
Whenever she 3
has neither 3
particular meaning 3
what appeared 3
more complete 3
last twenty 3
herself quite 3
civil but 3
Tilney though 3
dearest friend 3
their separation 3
few friends 3
fancy Mr 3
convenience or 3
visit might 3
our carriage 3
Tilney before 3
to THEM 3
by express 3
very narrow 3
neither in 3
again There 3
setting aside 3
a disgraceful 3
like Maple 3
had need 3
he bore 3
or ought 3
being happy 3
Willoughby which 3
Lydia to 3
reading and 3
more he 3
it proper 3
away You 3
alone was 3
Elinor It 3
Each sister 3
Where shall 3
of Julia 3
be difficult 3
dressed to 3
being brought 3
small was 3
months longer 3
very unexpected 3
her girls 3
roused from 3
resolve that 3
a struggle 3
new instrument 3
admit the 3
like at 3
composure till 3
same feelings 3
the evident 3
true Mr 3
up It 3
accompany his 3
resolved never 3
too without 3
morning about 3
returning into 3
once on 3
life the 3
the step 3
him replied 3
family whom 3
know anybody 3
No Marianne 3
think Emma 3
and sweetness 3
on horse 3
dance was 3
mother The 3
much from 3
his sudden 3
now received 3
be wholly 3
perfectly agreed 3
too hot 3
The girls 3
growing very 3
little observation 3
nothing with 3
sufficient income 3
say than 3
the cousins 3
persuading him 3
altogether such 3
sacrifice I 3
much oppressed 3
see as 3
more intelligible 3
her chamber 3
be dangerous 3
favour that 3
friends from 3
last mentioned 3
best off 3
Edward it 3
perturbation of 3
particular about 3
She still 3
settle it 3
very unwell 3
this reproach 3
Papa and 3
answer before 3
sincere and 3
more You 3
family you 3
Fanny No 3
expectation which 3
itself by 3
interest with 3
in guarding 3
is without 3
and driven 3
her existence 3
The Allens 3
brotherly affection 3
the numbers 3
are sorry 3
Mrs Ellison 3
name She 3
An excellent 3
distrust and 3
adding to 3
amazement at 3
one thinks 3
fifty miles 3
and assurances 3
better And 3
return the 3
sent a 3
some relations 3
an ample 3
spirits by 3
when Catherine 3
entreat the 3
father Mrs 3
Emma soon 3
with silent 3
to betray 3
receive no 3
increasing attachment 3
him really 3
apartment which 3
not near 3
words so 3
without love 3
happened in 3
indulge in 3
her lot 3
pure and 3
tolerably comfortable 3
brother too 3
she submitted 3
may probably 3
in waiting 3
well so 3
and propriety 3
do look 3
picturesque beauty 3
particular compliment 3
word he 3
sudden and 3
curiosity I 3
had moved 3
room He 3
be seated 3
Portsmouth was 3
Now was 3
gazing on 3
is half 3
visitors in 3
away some 3
were and 3
walking as 3
decline it 3
most endearing 3
heard at 3
side that 3
another had 3
what any 3
be infinitely 3
miles round 3
my sweet 3
you spend 3
you spent 3
me tell 3
repent her 3
her shoulders 3
how infinitely 3
return She 3
night said 3
warmly as 3
suffer him 3
My mind 3
their sisters 3
years after 3
decline the 3
one letter 3
a hand 3
every variety 3
do if 3
Eliza Bennet 3
I just 3
both she 3
which make 3
family she 3
has two 3
whom we 3
to tease 3
Darcy though 3
far settled 3
with animation 3
a grievous 3
was uppermost 3
astonishment but 3
own affection 3
come the 3
his while 3
proper I 3
was extreme 3
spoken and 3
throw a 3
Fitzwilliam had 3
Again they 3
know was 3
country It 3
superiority in 3
everything so 3
and Willoughby 3
were tired 3
smiling that 3
cool and 3
a cruel 3
miserable and 3
go or 3
had accidentally 3
so herself 3
every inquiry 3
sweet pretty 3
having her 3
the courage 3
she intended 3
so How 3
that spirit 3
favourable state 3
will drink 3
for offering 3
blinded by 3
started a 3
of independent 3
this good 3
own set 3
sensibility which 3
up She 3
inducement to 3
ease with 3
The bustle 3
this affair 3
live and 3
Crawford's side 3
ill success 3
well or 3
the encouragement 3
whatever I 3
periods of 3
What cried 3
exertion in 3
Hartfield if 3
ladies can 3
of desperate 3
less on 3
about an 3
should hope 3
father that 3
what arose 3
must suffer 3
the terrors 3
foreseen but 3
likelihood of 3
now convinced 3
it well 3
moment what 3
quartered in 3
Norris's death 3
fret over 3
acquaintance between 3
had destroyed 3
sure cried 3
read you 3
moving the 3
unless I 3
mention a 3
burst from 3
was become 3
well proportioned 3
great spirits 3
she prepared 3
they a 3
Grant with 3
broken heart 3
surprise was 3
walk here 3
bearer of 3
the inconveniences 3
gardens and 3
might ride 3
was drawn 3
would gladly 3
always right 3
in greater 3
died away 3
so repeatedly 3
The introduction 3
assure them 3
drove from 3
would know 3
who believed 3
and ignorant 3
she assured 3
tears she 3
Marianne may 3
in consideration 3
a vain 3
Smith She 3
thing equal 3
itself is 3
itself in 3
word Her 3
of embarrassment 3
without great 3
serenity of 3
afterwards in 3
afterwards it 3
sentiment which 3
first without 3
over before 3
his aunt's 3
brought Mr 3
Has not 3
She only 3
the readiness 3
of concern 3
objects to 3
quick pace 3
sea bathing 3
Now do 3
Why indeed 3
her full 3
could affect 3
hers to 3
last She 3
them deep 3
grief and 3
aunt who 3
quite agree 3
right Fanny 3
still thought 3
must really 3
morning will 3
the nights 3
went well 3
qualities and 3
or were 3
given was 3
Collins did 3
acting as 3
not herself 3
must indeed 3
seven thousand 3
own cause 3
or are 3
just so 3
expectations that 3
this won't 3
Grants and 3
both but 3
them Harriet 3
such charming 3
command she 3
a listener 3
so occupied 3
has and 3
that left 3
much into 3
read more 3
now made 3
suffer more 3
indifference of 3
care not 3
shrinking from 3
She always 3
next presentation 3
boy of 3
will appear 3
Jane's feelings 3
good the 3
sheets of 3
more welcome 3
confide in 3
lesson that 3
temper had 3
next ball 3
the measure 3
door I 3
submitted and 3
as new 3
do let 3
then returned 3
and occupied 3
of ingratitude 3
moved to 3
reproach her 3
same to 3
Thorpe to 3
her feet 3
members of 3
matter He 3
significantly at 3
of behaviour 3
not part 3
third time 3
abide by 3
along with 3
will become 3
waited in 3
up it 3
Wickham too 3
Harriet cried 3
with sensations 3
line and 3
myself have 3
much altered 3
all wish 3
prepare him 3
conviction was 3
approve it 3
say my 3
consoling to 3
friends here 3
room saying 3
to state 3
loss for 3
weather I 3
was devoted 3
when obliged 3
considering every 3
returned Emma 3
person can 3
person had 3
his design 3
by heart 3
is far 3
friend on 3
With more 3
be owing 3
round in 3
design in 3
And on 3
And of 3
party with 3
in temper 3
who felt 3
more painful 3
an Anhalt 3
sometimes the 3
presence was 3
her attentively 3
and common 3
the measures 3
almost ran 3
whole length 3
other sex 3
that manner 3
tour to 3
saw there 3
desirable that 3
or later 3
proceed with 3
present had 3
more particular 3
off when 3
interest herself 3
And woman 3
either But 3
same but 3
finding their 3
a solicitude 3
horse back 3
he finds 3
chiefly on 3
chiefly of 3
excellent one 3
with superior 3
follow in 3
feelings Fanny 3
sensations which 3
who thinks 3
her pen 3
quite sufficient 3
the protection 3
being used 3
truly anxious 3
open carriage 3
comfortable by 3
any fear 3
minutes Mr 3
my ideas 3
ladyship said 3
again Emma 3
certainly are 3
conversation in 3
Mr Campbell 3
weak and 3
words spoken 3
Don't let 3
she gets 3
build a 3
he belonged 3
really too 3
such thoughts 3
hardly eat 3
now perhaps 3
not end 3
much inclined 3
people must 3
minute longer 3
my two 3
themselves from 3
been safe 3
a liberty 3
never change 3
of December 3
years younger 3
be continually 3
with unaffected 3
Oh don't 3
offended and 3
so plainly 3
and spoken 3
the fruit 3
youngest Miss 3
place The 3
of years 3
smiling with 3
be returning 3
at Richmond 3
him whether 3
besides all 3
most acute 3
be losing 3
be finally 3
not spare 3
The gentleman 3
during a 3
silence She 3
her pride 3
the sons 3
principles I 3
of chance 3
before Emma 3
staying a 3
relieve the 3
be easier 3
So many 3
Knightley Mr 3
and pleasures 3
different kind 3
means or 3
do In 3
cried Isabella 3
girls walked 3
attempt on 3
therefore gave 3
dancing I 3
father's return 3
however must 3
early an 3
and preparing 3
relations She 3
you approve 3
men have 3
after giving 3
who wanted 3
very poorly 3
am by 3
frozen maid 3
astonishing to 3
that article 3
change for 3
that came 3
however there 3
together that 3
slowly up 3
cousin of 3
always believed 3
not over 3
they thought 3
days He 3
on when 3
dissuade him 3
only child 3
and disgrace 3
mutual silence 3
Tilneys were 3
and falling 3
old she 3
who met 3
in after 3
that Enscombe 3
on At 3
our present 3
Weston in 3
perfectly safe 3
guarded and 3
considering that 3
subject or 3
spent her 3
so amazingly 3
delight she 3
him here 3
had played 3
by dinner 3
Norfolk again 3
pleasure you 3
so excessively 3
you Harriet 3
so delightful 3
not present 3
of finishing 3
did seem 3
and delighted 3
Eleanor Tilney 3
was bringing 3
was leaning 3
change You 3
Collins I 3
ourselves if 3
ready with 3
had changed 3
beautiful as 3
such tender 3
seemed scarcely 3
good scheme 3
you Then 3
about being 3
fancy himself 3
us any 3
but good 3
described and 3
her displeasure 3
everything will 3
Emma listened 3
uncertain when 3
first choice 3
consumed in 3
she put 3
heavy sigh 3
report which 3
stopping short 3
the opinions 3
flattering himself 3
their names 3
from going 3
heard in 3
more Emma 3
it altogether 3
pain that 3
worth their 3
much relieved 3
leave town 3
and thanks 3
satisfaction she 3
scarcely heard 3
we ought 3
all returned 3
however we 3
and cross 3
high sense 3
imagine me 3
son who 3
would call 3
their business 3
which none 3
Bertrams and 3
lament over 3
his death 3
doubt there 3
my acquaintances 3
rehearse with 3
Crawford He 3
the keenest 3
and inquiries 3
follow them 3
must both 3
project of 3
Gardiner was 3
grew so 3
Mrs Thorpe's 3
are The 3
again about 3
poor Catherine 3
words had 3
were pretty 3
when no 3
speak disrespectfully 3
even so 3
resentment of 3
judgment is 3
would act 3
I admired 3
of Dr 3
given as 3
moment's silence 3
a talker 3
opinions I 3
her neighbours 3
young cousin 3
At about 3
touched her 3
your sake 3
his determination 3
what Fanny 3
deal together 3
can now 3
letting them 3
father's marriage 3
once her 3
no never 3
very sanguine 3
herself about 3
minded and 3
got the 3
standing a 3
white and 3
perhaps without 3
graces of 3
meeting the 3
opening to 3
depending on 3
absence she 3
meets with 3
a heightened 3
how fond 3
candour and 3
My Emma 3
long journey 3
thing again 3
sir You 3
insensible to 3
to strangers 3
best right 3
his observation 3
loss in 3
really as 3
warmly in 3
civil in 3
indifferent about 3
carry my 3
was sunk 3
pride had 3
going farther 3
Brandon said 3
she appears 3
happy so 3
how Mrs 3
could soon 3
never cared 3
those that 3
this when 3
be duped 3
the duke 3
and forming 3
Lucas had 3
his service 3
his parting 3
thin and 3
father's behaviour 3
that related 3
and ride 3
began at 3
had mentioned 3
to endeavour 3
weather would 3
touched on 3
those whose 3
any alteration 3
examine it 3
a yearly 3
Miss Frances 3
was sad 3
that independence 3
rather against 3
children after 3
for breath 3
measure but 3
from Bath 3
ease by 3
whence he 3
sudden resolution 3
been hard 3
not mentioned 3
almost ashamed 3
very beautiful 3
heat was 3
general wish 3
the piece 3
fate and 3
Jane has 3
as neither 3
read about 3
dear Norland 3
country he 3
hours as 3
your merit 3
the folding 3
poor young 3
knowing herself 3
with in 3
thirty years 3
will suffer 3
heart You 3
And a 3
society she 3
into other 3
my hands 3
Darcy will 3
enough as 3
Edward for 3
sisters Mr 3
out Lord 3
for others 3
exactly suited 3
particularly wished 3
Bingley does 3
here were 3
reigns alone 3
remembering that 3
liked her 3
do half 3
exceedingly glad 3
Crawford's opinion 3
ladies have 3
then read 3
better fitted 3
rejoicing in 3
she dreaded 3
too her 3
as fond 3
Hartfield No 3
and displeasure 3
of justice 3
In another 3
to accuse 3
standing there 3
when last 3
certainly no 3
a putrid 3
both at 3
pity he 3
dealings with 3
friends they 3
falsehood of 3
been into 3
any distance 3
offence and 3
her authority 3
minutes conversation 3
message and 3
Half a 3
Her greatest 3
exercise she 3
Bennet Oh 3
Well what 3
or better 3
very mention 3
temper though 3
forget their 3
thing What 3
little deaf 3
His attachment 3
through my 3
consequence she 3
but pleasure 3
more particularly 3
I firmly 3
And Jane 3
the horizon 3
fall and 3
accession of 3
husband a 3
you either 3
The storm 3
give themselves 3
spirits he 3
this business 3
of conceit 3
objects as 3
instrument is 3
circumstance for 3
person The 3
her courage 3
general cry 3
face I 3
and addressing 3
its kind 3
an employment 3
every virtue 3
most disagreeable 3
four dances 3
contained in 3
remembered that 3
our small 3
send him 3
a shilling 3
mention his 3
everybody had 3
herself A 3
been if 3
books And 3
regrets and 3
satisfy herself 3
will at 3
and elegant 3
acquaintance had 3
of care 3
cause or 3
the land 3
never wish 3
and act 3
have convinced 3
persuaded she 3
high good 3
the something 3
imprudence which 3
We want 3
than otherwise 3
stood out 3
been yet 3
is Sir 3
he turning 3
children she 3
a donkey 3
never made 3
for other 3
says there 3
Thorpe was 3
he No 3
that Maria 3
those kind 3
another young 3
His son 3
might hope 3
ever spoke 3
Kitty a 3
by John 3
stopped in 3
fever was 3
was present 3
father's comfort 3
often talk 3
declining it 3
made known 3
Don't pretend 3
head that 3
drive home 3
informed mind 3
up an 3
the comprehension 3
in before 3
whom in 3
Weston on 3
such works 3
any impression 3
recommend yourself 3
Darcy were 3
this might 3
crossed her 3
it are 3
whom however 3
number but 3
of minutes 3
in situation 3
placing her 3
a smaller 3
to Emma's 3
joy was 3
serious nature 3
its conclusion 3
came but 3
of considerable 3
indeed This 3
you DO 3
deserve him 3
so indifferent 3
own two 3
suggest a 3
very steadily 3
already have 3
to South 3
be intimate 3
more if 3
more it 3
which conveyed 3
with Dr 3
time this 3
been worse 3
well educated 3
which Edward 3
them should 3
moment there 3
And all 3
Mrs Price's 3
England would 3
of fifty 3
consequently to 3
well made 3
only thing 3
was amused 3
fix her 3
Price would 3
have drawn 3
admire them 3
joyful consent 3
And away 3
Campbells are 3
has more 3
subdued and 3
attached and 3
Thomas will 3
about We 3
know much 3
hope with 3
note I 3
Bennet seemed 3
am and 3
am fond 3
what nature 3
a stone 3
vastly well 3
family It 3
spoke a 3
comfort or 3
So then 3
thoughts it 3
forgiven me 3
first only 3
hand but 3
the broad 3
Emma spoke 3
on Elinor 3
for everybody's 3
feel to 3
old fellow 3
now absolutely 3
Oh Yes 3
of extraordinary 3
near that 3
Yes Mr 3
idleness of 3
lengthened absence 3
its use 3
young charge 3
so disagreeable 3
afternoon and 3
thing relative 3
accounting for 3
says we 3
lower and 3
more determined 3
relief in 3
minutes but 3
certainly as 3
to of 3
after taking 3
look the 3
you When 3
Elinor how 3
them off 3
the reward 3
hoped the 3
let you 3
did know 3
mother's spectacles 3
comfortable without 3
this autumn 3
material change 3
OUGHT to 3
only he 3
he being 3
all walked 3
address from 3
cruelty of 3
do how 3
his writing 3
could there 3
me something 3
own as 3
estate is 3
the inquiry 3
the attentive 3
together by 3
no there 3
every man 3
Campbells or 3
followed in 3
many resources 3
excellent father 3
somebody I 3
Elton said 3
as without 3
at Twickenham 3
memory is 3
found no 3
a solemn 3
Willoughby for 3
and wondering 3
thousand things 3
or Lady 3
Read it 3
grew tired 3
supposing him 3
the mean 3
duty by 3
elder Miss 3
provision of 3
first introduced 3
but frozen 3
and increased 3
chuse their 3
decidedly the 3
neither she 3
a reward 3
some dreadful 3
is Colonel 3
elation of 3
treated the 3
have tried 3
distinction of 3
you Nobody 3
should expect 3
struggling for 3
am heartily 3
cause by 3
any right 3
of country 3
the lace 3
understand this 3
snow and 3
manners the 3
about Fanny 3
chair near 3
of reserve 3
hour They 3
dear for 3
should suffer 3
of income 3
proved a 3
by poor 3
the established 3
determination to 3
an order 3
who lives 3
is afraid 3
She loves 3
connexions of 3
cut him 3
asked it 3
on others 3
a sportsman 3
amendment and 3
Their being 3
I guessed 3
stand the 3
contented and 3
scores of 3
while there 3
perfectly agreeable 3
are about 3
hate him 3
be unnecessary 3
how highly 3
The want 3
to warm 3
engross her 3
face to 3
goodwill and 3
great part 3
whom to 3
as something 3
eye the 3
he used 3
their removal 3
THAT he 3
was holding 3
be great 3
compatible with 3
partner and 3
good reading 3
abbey before 3
silver knife 3
The season 3
could call 3
praise to 3
any companion 3
attempts to 3
with It 3
Her situation 3
her value 3
my business 3
if in 3
Perry to 3
but are 3
Crawfords were 3
for within 3
peace in 3
condition in 3
to three 3
the surrounding 3
returned Mr 3
disgusted with 3
look like 3
yesterday to 3
exert himself 3
and calmly 3
to associate 3
else His 3
first as 3
before all 3
informing her 3
do THAT 3
life which 3
off so 3
never loved 3
of dignity 3
always poor 3
her play 3
the mortifying 3
in abundance 3
perhaps than 3
His affection 3
fully intended 3
saying But 3
other subject 3
just parted 3
asked if 3
again very 3
circulating library 3
immediately say 3
immediately saw 3
hurried her 3
and drink 3
agreeable of 3
progress through 3
must soon 3
last Mr 3
been reading 3
for hours 3
cure her 3
moment more 3
read I 3
might speak 3
ruined for 3
or been 3
contempt which 3
act anything 3
Cole I 3
constancy of 3
The picture 3
there without 3
towards myself 3
his civilities 3
had injured 3
together In 3
There has 3
judging from 3
shewed a 3
had prevented 3
parlour to 3
with gentle 3
a monstrous 3
coming there 3
us here 3
indeed Jane 3
a correspondence 3
many doubts 3
work was 3
bell and 3
so did 3
feeling any 3
the APPEARANCE 3
green house 3
This seems 3
by three 3
attempted it 3
before The 3
it Indeed 3
directly replied 3
general good 3
herself said 3
Campbell is 3
change her 3
Certainly said 3
his uniform 3
oppose the 3
would undertake 3
intention I 3
my Catherine 3
over What 3
whole business 3
it known 3
may arise 3
approach was 3
nice and 3
agreeable girls 3
song and 3
was They 3
never believed 3
he stopt 3
of hot 3
delight which 3
your excellent 3
place would 3
believed they 3
believed them 3
uneasiness on 3
he won't 3
apologies to 3
and horror 3
exclaimed My 3
leaving Highbury 3
expedient for 3
a constancy 3
those beautiful 3
so unjust 3
of company 3
could suggest 3
refuse such 3
friends would 3
character The 3
Well it 3
way And 3
think indeed 3
by Catherine 3
Mrs Morland's 3
being still 3
More than 3
solicitous for 3
talked only 3
day You 3
hundredth part 3
the speaker 3
have fixed 3
help for 3
pay your 3
and ears 3
be engaged 3
ones I 3
out Catherine 3
an inconvenience 3
wind had 3
where we 3
of conviction 3
door with 3
gift of 3
own master 3
having taken 3
conclude that 3
own merit 3
dancing but 3
pass without 3
justice and 3
Crawford did 3
however than 3
there when 3
kind so 3
lecture on 3
James had 3
asked Miss 3
suffer her 3
once gone 3
Edmund you 3
us think 3
his means 3
with real 3
doors in 3
inquire about 3
God cried 3
Netherfield I 3
face on 3
aunt I 3
arise to 3
own behaviour 3
now only 3
exception of 3
terms as 3
etc but 3
Bingley for 3
thought himself 3
my profession 3
and evidently 3
often think 3
guessed what 3
society But 3
ever come 3
and expressions 3
the rapid 3
such she 3
Mansfield when 3
Morland will 3
these occasions 3
Fanny's last 3
sighed and 3
his children's 3
Henry for 3
been possible 3
letters I 3
is old 3
wanted in 3
here till 3
every wish 3
injured and 3
why a 3
beloved Catherine 3
why I 3
many little 3
wonderful and 3
sister by 3
friend were 3
moment should 3
shall get 3
general civility 3
new dress 3
Why is 3
dear we 3
their route 3
the destruction 3
servant in 3
your notions 3
promote his 3
silence he 3
nature must 3
roll of 3
short sentence 3
mansion house 3
was hurt 3
an aunt 3
Her friends 3
money for 3
vexed to 3
first And 3
some effect 3
pride I 3
of talent 3
happy conclusion 3
The housekeeper 3
the gay 3
gravity of 3
very provoking 3
and carried 3
some refreshment 3
good But 3
quite new 3
able in 3
might naturally 3
Charlotte had 3
same light 3
next day's 3
But can 3
his invitation 3
the capabilities 3
human creature 3
Tilney my 3
greatness of 3
good that 3
stopping in 3
Lee had 3
increase his 3
Had it 3
extended to 3
William Price's 3
was summoned 3
shyness and 3
to yours 3
your age 3
most beautiful 3
privacy and 3
years but 3
there No 3
Longbourn on 3
event to 3
comfortable at 3
the Count 3
spirits was 3
not persuade 3
above his 3
of eagerness 3
before Michaelmas 3
far to 3
will talk 3
pay him 3
conversation no 3
only you 3
towards Mrs 3
party she 3
increased her 3
thanks are 3
form as 3
form an 3
than hers 3
appear like 3
given I 3
taken down 3
catch at 3
twice every 3
were young 3
him what 3
with being 3
whom can 3
eldest cousin 3
being consulted 3
their influence 3
assembled and 3
Allen were 3
or ever 3
and into 3
unlucky that 3
trembled at 3
month at 3
make in 3
shall walk 3
that distinction 3
a mutual 3
Kitty who 3
the instrument's 3
knew would 3
days at 3
general conduct 3
seek the 3
moment He 3
and honest 3
by everything 3
thing the 3
misery and 3
imprudent marriage 3
remarkably fine 3
fair but 3
beauty is 3
did Emma 3
thing would 3
behaved with 3
least very 3
the dessert 3
earnestly pressed 3
The person 3
country life 3
Wickham for 3
Campbell will 3
employment which 3
and pleased 3
honour said 3
indeed so 3
flattered and 3
narrow minded 3
establishment for 3
and amuse 3
taste than 3
the deep 3
no reply 3
herself without 3
Doctor is 3
he offered 3
world she 3
act as 3
had latterly 3
trouble yourself 3
be guilty 3
he or 3
his will 3
dear uncle 3
replied Harriet 3
proof that 3
am exceedingly 3
or me 3
not turn 3
a baronet 3
was disappointment 3
indulged with 3
determined I 3
what right 3
real elegance 3
the gates 3
country dance 3
Mrs Whitaker 3
the waiter 3
themselves as 3
the domestic 3
the shops 3
working for 3
arrangement was 3
She told 3
excuse her 3
had sat 3
feel with 3
slight a 3
beloved of 3
well convinced 3
an apartment 3
Rushworth in 3
can shew 3
well provided 3
pray what 3
was acknowledged 3
what news 3
be cross 3
were glad 3
at six 3
word She 3
Elinor of 3
free and 3
I guess 3
am engaged 3
disagreeable and 3
it fell 3
Fanny She 3
being hurried 3
go Do 3
also at 3
last was 3
acting wrong 3
He begged 3
and grieved 3
perceived it 3
all is 3
plan is 3
were otherwise 3
and bad 3
the Donwell 3
spend in 3
And while 3
long They 3
you turning 3
have died 3
Fairfax that 3
a regret 3
bore with 3
best known 3
in whom 3
a mistaken 3
secrecy and 3
stand in 3
mutton with 3
every direction 3
to men 3
never much 3
material and 3
of There 3
days from 3
judged of 3
ONE is 3
conduct to 3
better he 3
see much 3
first feeling 3
must if 3
temptation to 3
talked it 3
time afterwards 3
good woman 3
his servant 3
lay awake 3
been five 3
Not quite 3
his last 3
my particular 3
make Miss 3
two sons 3
be fond 3
impossible And 3
governed by 3
am missed 3
Jennings were 3
the chest 3
having now 3
be secured 3
and calling 3
names of 3
as rich 3
Allen to 3
dear cousin 3
of conveying 3
was acting 3
in suspense 3
remained so 3
ask what 3
increased so 3
no conversation 3
constant attendance 3
not spirits 3
dinner engagement 3
Woodhouse a 3
their separate 3
occurred in 3
we be 3
their general 3
houses as 3
where Mr 3
judgment that 3
not offend 3
Elinor again 3
very sincerely 3
think who 3
merely the 3
views on 3
The conversation 3
notice I 3
any attentions 3
own fireside 3
the impertinent 3
been lost 3
with pain 3
not comfortable 3
idea with 3
dictated to 3
followed He 3
name at 3
confidence could 3
the attraction 3
lost the 3
do she 3
yourself very 3
a fever 3
know It 3
fortnight before 3
her sorrow 3
before Mrs 3
patience in 3
You want 3
here It 3
was secured 3
and urged 3
effort the 3
reminded by 3
enlargement of 3
say would 3
described by 3
we been 3
Rushworth did 3
would occur 3
its first 3
by whomsoever 3
been together 3
her fingers 3
park was 3
play was 3
suppose would 3
the contempt 3
could authorise 3
terrible to 3
in Parliament 3
trouble to 3
excellent young 3
the tenderness 3
said Is 3
might always 3
That they 3
guess where 3
successful in 3
you Not 3
hear on 3
The contrast 3
great variety 3
very steady 3
enjoyment for 3
shocking indeed 3
part you 3
an honest 3
great cordiality 3
And without 3
of companions 3
not account 3
ever before 3
pitch of 3
forgiven you 3
grieving over 3
no apology 3
worth reading 3
right who 3
Tilney could 3
round with 3
To do 3
that light 3
never appeared 3
assuring him 3
however The 3
was strong 3
been found 3
evident and 3
again That 3
overtaken by 3
and ignorance 3
faultless as 3
it deserved 3
being within 3
appearance there 3
promise you 3
witnessed in 3
shrunk from 3
also and 3
begging you 3
Willoughby I 3
too on 3
With no 3
followed was 3
present Mr 3
Her only 3
fact a 3
seen Mrs 3
distinguish nothing 3
had learned 3
papa you 3
not They 3
was disturbed 3
early walk 3
her cried 3
she accepted 3
uneasiness was 3
an unnecessary 3
woman is 3
son with 3
little chance 3
always thinking 3
be involved 3
and sending 3
were among 3
favourite he 3
not marrying 3
she kept 3
discretion and 3
knowing anything 3
stairs were 3
Thomas saw 3
alike in 3
for Bath 3
and envy 3
very genteel 3
have held 3
her needle 3
last by 3
are removed 3
pace and 3
been self 3
no they 3
Willoughby's behaviour 3
they to 3
and study 3
Square and 3
my fault 3
done Mr 3
on board 3
not express 3
him last 3
infinitely obliged 3
couple with 3
in by 3
come It 3
want the 3
them A 3
London at 3
SHE would 3
especially by 3
by nothing 3
my shawl 3
one close 3
mother He 3
improvements in 3
no choice 3
one preferred 3
sitting up 3
loud and 3
seemed of 3
seemed on 3
led them 3
was confident 3
further delay 3
her activity 3
different person 3
are cried 3
before How 3
reached Mansfield 3
us some 3
Elton indeed 3
under their 3
a steady 3
wanting his 3
second meeting 3
wanting him 3
to disgrace 3
to conclude 3
gained on 3
been otherwise 3
better leave 3
the glow 3
cause his 3
fond attachment 3
away was 3
most comfortably 3
the curtain 3
Oh la 3
been full 3
perhaps we 3
of females 3
gave Emma 3
is wrong 3
an extraordinary 3
conceal from 3
Elinor the 3
that brought 3
within twenty 3
my hopes 3
observing Mr 3
The influence 3
The distinction 3
choice But 3
her boot 3
flattering to 3
not finding 3
for saying 3
if Edward 3
tender concern 3
hours would 3
finding himself 3
learning that 3
my character 3
his objections 3
could determine 3
useful she 3
for Wickham 3
none so 3
and vexed 3
intimate acquaintance 3
else must 3
people have 3
much together 3
seen Miss 3
can understand 3
way The 3
many painful 3
cried you 3
most honourable 3
everything easy 3
You never 3
they looked 3
sensations on 3
connexion and 3
they get 3
induce her 3
less interesting 3
own discretion 3
Hartfield had 3
doubted the 3
weight in 3
try her 3
her cold 3
ago to 3
room this 3
walked by 3
were alike 3
happiness He 3
presently and 3
power But 3
engagements and 3
eldest of 3
was welcome 3
answer Her 3
fireside and 3
a judge 3
but checking 3
Northanger and 3
presumption to 3
their several 3
which ladies 3
been tempted 3
little notice 3
soon gone 3
her estimation 3
to Harley 3
flattery of 3
home there 3
aware and 3
Marianne's affection 3
for never 3
whole I 3
procuring her 3
long but 3
the commendation 3
business But 3
a sore 3
Elinor Oh 3
An old 3
myself my 3
ardour of 3
been frequently 3
to lie 3
letters than 3
all If 3
so infinitely 3
time Her 3
his surprise 3
did a 3
was angry 3
her intention 3
immediately on 3
in health 3
the completion 3
enjoying the 3
both his 3
Elinor perceived 3
Maria are 3
so seriously 3
instance it 3
like of 3
did said 3
needed a 3
on she 3
fetch his 3
little bit 3
In general 3
way His 3
to advance 3
an exceeding 3
likewise to 3
there only 3
Dashwood a 3
life in 3
the tender 3
chances of 3
was overflowing 3
been extended 3
swelling with 3
has put 3
world was 3
all assembled 3
the London 3
could learn 3
plants and 3
on But 3
hearing a 3
hearing I 3
James should 3
of lottery 3
by other 3
The Coles 3
Middleton is 3
not meaning 3
else You 3
the affectionate 3
her ambition 3
and consider 3
connexion or 3
this kindness 3
about all 3
of disliking 3
told my 3
whom no 3
remember one 3
match at 3
fill her 3
not whether 3
Fanny the 3
that Captain 3
I stay 3
Brandon he 3
saying any 3
ill luck 3
were off 3
Edward or 3
rather do 3
walk he 3
extreme of 3
ball And 3
being suspected 3
she deemed 3
my first 3
the affirmative 3
displeased I 3
here one 3
on whose 3
you meant 3
its faults 3
only objection 3
have laughed 3
were strong 3
said There 3
pounds would 3
